id,name,party,chamber,state,district,start,end
F000087,Antonio Fernós-Isern,Popular Democrat,rep,PR,N/A,1963-01-09,1965-01-03
H000559,Bourke Hickenlooper,Republican,sen,IA,N/A,1963-01-09,1969-01-03
H000598,Joseph Hill,Democrat,sen,AL,N/A,1963-01-09,1969-01-03
J000158,Lester Johnson,Democrat,rep,WI,9,1963-01-09,1965-01-03
K000040,Maude Kee,Democrat,rep,WV,5,1963-01-09,1965-01-03
M001022,Thruston Morton,Republican,sen,KY,N/A,1963-01-09,1968-12-16
O000120,Frank Osmers,Republican,rep,NJ,9,1963-01-09,1965-01-03
S000505,George Smathers,Democrat,sen,FL,N/A,1963-01-09,1969-01-03
C000055,Howard Callaway,Republican,rep,GA,3,1965-01-04,1967-01-03
C001005,Willard Curtin,Republican,rep,PA,8,1965-01-04,1967-01-03
D000004,Paul Dague,Republican,rep,PA,9,1965-01-04,1967-01-03
F000023,Charles Farnsley,Democrat,rep,KY,3,1965-01-04,1967-01-03
H000720,Spessard Holland,Democrat,sen,FL,N/A,1965-01-04,1971-01-03
K000130,Eugene Keogh,Democrat,rep,NY,11,1965-01-04,1967-01-03
J000246,Paul Jones,Democrat,rep,MO,10,1965-01-04,1967-01-03
K000326,Paul Krebs,Democrat,rep,NJ,12,1965-01-04,1967-01-03
K000341,John Kunkel,Republican,rep,PA,16,1965-01-04,1967-01-03
M000182,James Martin,Republican,rep,AL,7,1965-01-04,1967-01-03
M000311,Eugene McCarthy,Democrat,sen,MN,N/A,1965-01-04,1971-01-03
O000015,Leo O’Brien,Democrat,rep,NY,29,1965-01-04,1967-01-03
R000404,Walter Rogers,Democrat,rep,TX,18,1965-01-04,1967-01-03
S000184,Ralph Scott,Democrat,rep,NC,5,1965-01-04,1967-01-03
S001103,Robert Sweeney,Democrat,rep,OH,N/A,1965-01-04,1967-01-03
T000198,Clark Thompson,Democrat,rep,TX,9,1965-01-04,1967-01-03
T000297,Herman Toll,Democrat,rep,PA,4,1965-01-04,1967-01-03
T000411,Stanley Tupper,Republican,rep,ME,1,1965-01-04,1967-01-03
W000290,Charles Weltner,Democrat,rep,GA,5,1965-01-04,1967-01-03
W000518,John Williams,Republican,sen,DE,N/A,1965-01-04,1971-01-03
Y000053,Stephen Young,Democrat,sen,OH,N/A,1965-01-04,1971-01-03
A000223,Robert Ashmore,Democrat,rep,SC,4,1967-01-10,1969-01-03
A000186,Clinton Anderson,Democrat,sen,NM,N/A,1967-01-10,1973-01-03
C000758,John Cooper,Republican,sen,KY,N/A,1967-01-10,1973-01-03
H000081,Charles Halleck,Republican,rep,IN,2,1967-01-10,1969-01-03
G000098,Ezekiel Gathings,Democrat,rep,AR,1,1967-01-10,1969-01-03
H000197,Porter Hardy,Democrat,rep,VA,2,1967-01-10,1969-01-03
H000237,Fred Harris,Democrat,sen,OK,N/A,1967-01-10,1973-01-03
H000530,Albert Herlong,Democrat,rep,FL,4,1967-01-10,1969-01-03
K000013,Frank Karsten,Democrat,rep,MO,1,1967-01-10,1969-01-03
J000269,Leonard Jordan,Republican,sen,ID,N/A,1967-01-10,1973-01-03
I000039,Donald Irwin,Democrat,rep,CT,4,1967-01-10,1969-01-03
K000196,Cecil King,Democrat,rep,CA,17,1967-01-10,1969-01-03
K000318,Horace Kornegay,Democrat,rep,NC,6,1967-01-10,1969-01-03
K000343,Theodore Kupferman,Republican,rep,NY,17,1967-01-10,1969-01-03
M000892,Arch Moore,Republican,rep,WV,1,1967-01-10,1969-01-03
M001078,Karl Mundt,Republican,sen,SD,N/A,1967-01-10,1973-01-03
R000187,George Rhodes,Democrat,rep,PA,6,1967-01-10,1969-01-03
T000128,Herbert Tenzer,Democrat,rep,NY,5,1967-01-10,1969-01-03
T000395,William Tuck,Democrat,rep,VA,5,1967-01-10,1969-01-03
A000062,George Aiken,Republican,sen,VT,N/A,1969-01-03,1975-01-03
B000384,Wallace Bennett,Republican,sen,UT,N/A,1969-01-03,1974-12-20
B000416,Ellis Berry,Republican,rep,SD,2,1969-01-03,1971-01-03
B000436,Alan Bible,Democrat,sen,NV,N/A,1969-01-03,1974-12-17
D000001,Emilio Daddario,Democrat,rep,CT,1,1969-01-03,1971-01-03
D000239,Robert Denney,Republican,rep,NE,1,1969-01-03,1971-01-03
D000409,Peter Dominick,Republican,sen,CO,N/A,1969-01-03,1975-01-03
E000211,Samuel Ervin,Democrat,sen,NC,N/A,1969-01-03,1975-01-03
H000922,Harold Hughes,Democrat,sen,IA,N/A,1969-01-03,1975-01-03
G000531,Edward Gurney,Republican,sen,FL,N/A,1969-01-03,1975-01-03
G000531,Edward Gurney,Republican,sen,FL,N/A,1969-01-03,1975-01-03
M000148,John Marsh,Democrat,rep,VA,7,1969-01-03,1971-01-03
M001104,William Murphy,Democrat,rep,IL,3,1969-01-03,1971-01-03
O000090,Maston O’Neal,Democrat,rep,GA,2,1969-01-03,1971-01-03
R000152,Benjamin Reifel,Republican,rep,SD,1,1969-01-03,1971-01-03
A000002,Watkins Abbitt,Democrat,rep,VA,4,1971-01-21,1973-01-03
A000016,Thomas Abernethy,Democrat,rep,MS,1,1971-01-21,1973-01-03
A000205,Elizabeth Andrews,Democrat,rep,AL,3,1971-01-21,1973-01-03
B000272,John Beall,Republican,sen,MD,N/A,1971-01-21,1977-01-03
B000548,Leonard Blanton,Democrat,rep,TN,7,1971-01-21,1973-01-03
B000851,William Brock,Republican,sen,TN,N/A,1971-01-21,1977-01-03
B001216,John Byrnes,Republican,rep,WI,8,1971-01-21,1973-01-03
C000017,Patrick Caffery,Democrat,rep,LA,3,1971-01-21,1973-01-03
C000645,William Colmer,Democrat,rep,MS,5,1971-01-21,1973-01-03
C000153,Cliffard Carlson,Republican,rep,IL,15,1971-01-21,1973-01-03
C000997,William Curlin,Democrat,rep,KY,6,1971-01-21,1973-01-03
D000467,John Dowdy,Democrat,rep,TX,2,1971-01-21,1973-01-03
D000587,Florence Dwyer,Republican,rep,NJ,12,1971-01-21,1973-01-03
F000013,Paul Fannin,Republican,sen,AZ,N/A,1971-01-21,1977-01-03
F000245,Hiram Fong,Republican,sen,HI,N/A,1971-01-21,1977-01-03
G000458,Charles Griffin,Democrat,rep,MS,3,1971-01-21,1973-01-03
G000071,Edward Garmatz,Democrat,rep,MD,3,1971-01-21,1973-01-03
H000049,Durward Hall,Republican,rep,MO,7,1971-01-21,1973-01-03
H000085,Seymour Halpern,Republican,rep,NY,6,1971-01-21,1973-01-03
H000291,Philip Hart,Democrat,sen,MI,N/A,1971-01-21,1977-01-03
H000875,Roman Hruska,Republican,sen,NE,N/A,1971-01-21,1976-12-27
K000053,Hastings Keith,Republican,rep,MA,12,1971-01-21,1973-01-03
J000206,Charles Jonas,Republican,rep,NC,9,1971-01-21,1973-01-03
L000240,Alton Lennon,Democrat,rep,NC,7,1971-01-21,1973-01-03
L000429,Speedy Long,Democrat,rep,LA,8,1971-01-21,1973-01-03
M000393,William McCulloch,Republican,rep,OH,4,1971-01-21,1973-01-03
M000113,Michael Mansfield,Democrat,sen,MT,N/A,1971-01-21,1977-01-03
P000100,John Pastore,Democrat,sen,RI,N/A,1971-01-21,1976-12-28
P000196,Thomas Pelly,Republican,rep,WA,1,1971-01-21,1973-01-03
P000366,Alexander Pirnie,Republican,rep,NY,32,1971-01-21,1973-01-03
S000174,Hugh Scott,Republican,sen,PA,N/A,1971-01-21,1977-01-03
S001136,William Symington,Democrat,sen,MO,N/A,1971-01-21,1976-12-27
S000545,H. Smith,Republican,rep,CA,20,1971-01-21,1973-01-03
S000756,William Springer,Republican,rep,IL,22,1971-01-21,1973-01-03
T000134,John Terry,Republican,rep,NY,34,1971-01-21,1973-01-03
W000320,John Whalley,Republican,rep,PA,12,1971-01-21,1973-01-03
A000017,James Abourezk,Democrat,sen,SD,N/A,1973-01-03,1979-01-03
A000216,Leslie Arends,Republican,rep,IL,15,1973-01-03,1975-01-03
B000200,Dewey Bartlett,Republican,sen,OK,N/A,1973-01-03,1979-01-03
B000550,John Blatnik,Democrat,rep,MN,8,1973-01-03,1975-01-03
B000771,Frank Brasco,Democrat,rep,NY,11,1973-01-03,1975-01-03
C000275,Charles Chamberlain,Republican,rep,MI,6,1973-01-03,1975-01-03
C000629,Harold Collier,Republican,rep,IL,6,1973-01-03,1975-01-03
C001006,Carl Curtis,Republican,sen,NE,N/A,1973-01-03,1979-01-03
C001006,Carl Curtis,Republican,sen,NE,N/A,1973-01-03,1979-01-03
D000419,Harold Donohue,Democrat,rep,MA,3,1973-01-03,1975-01-03
D000434,William Dorn,Democrat,rep,SC,3,1973-01-03,1975-01-03
D000523,Thaddeus Dulski,Democrat,rep,NY,37,1973-01-03,1975-01-03
E000018,James Eastland,Democrat,sen,MS,N/A,1973-01-03,1979-01-03
F000152,Ovie Fisher,Democrat,rep,TX,21,1973-01-03,1975-01-03
F000371,Peter Frelinghuysen,Republican,rep,NJ,5,1973-01-03,1975-01-03
G000144,Thomas Gettys,Democrat,rep,SC,5,1973-01-03,1975-01-03
G000290,George Goodling,Republican,rep,PA,19,1973-01-03,1975-01-03
G000471,Martha Griffiths,Democrat,rep,MI,17,1973-01-03,1975-01-03
G000407,Edith Green,Democrat,rep,OR,3,1973-01-03,1975-01-03
G000495,Harold Gross,Republican,rep,IA,3,1973-01-03,1975-01-03
G000512,Charles Gubser,Republican,rep,CA,10,1973-01-03,1975-01-03
H000346,William Hathaway,Democrat,sen,ME,N/A,1973-01-03,1979-01-03
H000713,Chester Holifield,Democrat,rep,CA,19,1973-01-03,1975-01-03
H000802,Craig Hosmer,Republican,rep,CA,32,1973-01-03,1975-01-03
M000175,David Martin,Republican,rep,NE,3,1973-01-03,1975-01-03
M000603,Clem McSpadden,Democrat,rep,OK,2,1973-01-03,1975-01-03
M000799,William Minshall,Republican,rep,OH,23,1973-01-03,1975-01-03
N000028,Ancher Nelsen,Republican,rep,MN,2,1973-01-03,1975-01-03
P000166,James Pearson,Republican,sen,KS,N/A,1973-01-03,1978-12-23
P000485,Walter Powell,Republican,rep,OH,8,1973-01-03,1975-01-03
R000357,Howard Robison,Republican,rep,NY,27,1973-01-03,1975-01-03
R000424,John Rooney,Democrat,rep,NY,14,1973-01-03,1975-01-03
S000189,William Scott,Republican,sen,VA,N/A,1973-01-03,1979-01-03
S000701,John Sparkman,Democrat,sen,AL,N/A,1973-01-03,1979-01-03
S000836,Robert Steele,Republican,rep,CT,2,1973-01-03,1975-01-03
S000548,Henry Smith,Republican,rep,NY,36,1973-01-03,1975-01-03
W000778,Wendell Wyatt,Republican,rep,OR,1,1973-01-03,1975-01-03
W000147,John Ware,Republican,rep,PA,5,1973-01-03,1975-01-03
Z000016,John Zwach,Republican,rep,MN,6,1973-01-03,1975-01-03
A000073,Carl Albert,Democrat,rep,OK,3,1975-01-14,1977-01-03
B000351,Henry Bellmon,Republican,sen,OK,N/A,1975-01-14,1981-01-03
B000451,Edward Biester,Republican,rep,PA,8,1975-01-14,1977-01-03
C000802,Norris Cotton,Republican,sen,NH,N/A,1975-08-08,1975-09-18
C000979,John Culver,Democrat,sen,IA,N/A,1975-01-14,1981-01-03
D000041,Dominick Daniels,Democrat,rep,NJ,14,1975-01-14,1977-01-03
D000474,Thomas Downing,Democrat,rep,VA,1,1975-01-14,1977-01-03
E000214,Edwin Eshleman,Republican,rep,PA,16,1975-01-14,1977-01-03
E000273,Joseph Evins,Democrat,rep,TN,4,1975-01-14,1977-01-03
G000420,William Green,Democrat,rep,PA,3,1975-01-14,1977-01-03
G000513,Gilbert Gude,Republican,rep,MD,8,1975-01-14,1977-01-03
H000041,James Haley,Democrat,rep,FL,8,1975-01-14,1977-01-03
H000479,David Henderson,Democrat,rep,NC,3,1975-01-14,1977-01-03
H000563,Floyd Hicks,Democrat,rep,WA,6,1975-01-14,1977-01-03
H000965,William Hungate,Democrat,rep,MO,9,1975-01-14,1977-01-03
H001011,J. Hutchinson,Republican,rep,MI,4,1975-01-14,1977-01-03
H000437,Felix Hébert,Democrat,rep,LA,1,1975-01-14,1977-01-03
J000057,John Jarman,Republican,rep,OK,5,1975-01-14,1977-01-03
J000248,Robert Jones,Democrat,rep,AL,5,1975-01-14,1977-01-03
K000014,Joseph Karth,Democrat,rep,MN,4,1975-01-14,1977-01-03
L000054,Phillip Landrum,Democrat,rep,GA,9,1975-01-14,1977-01-03
M000778,Wilbur Mills,Democrat,rep,AR,2,1975-01-14,1977-01-03
M001031,Charles Mosher,Republican,rep,OH,13,1975-01-14,1977-01-03
M000958,Thomas Morgan,Democrat,rep,PA,22,1975-01-14,1977-01-03
R000041,William Randall,Democrat,rep,MO,4,1975-01-14,1977-01-03
R000191,Abraham Ribicoff,Democrat,sen,CT,N/A,1975-01-14,1981-01-03
S000135,Herman Schneebeli,Republican,rep,PA,17,1975-01-14,1977-01-03
R000134,Thomas Rees,Democrat,rep,CA,23,1975-01-14,1977-01-03
S000159,Richard Schweiker,Republican,sen,PA,N/A,1975-01-14,1981-01-03
S000860,Robert Stephens,Democrat,rep,GA,10,1975-01-14,1977-01-03
S001039,Williamson Stuckey,Democrat,rep,GA,8,1975-01-14,1977-01-03
S001057,Leonor Sullivan,Democrat,rep,MO,3,1975-01-14,1977-01-03
